method,list_size,shuffle_percentage,time_seconds
pivot_first,100,5,0.0004
pivot_first,100,5,0.0003
pivot_first,100,5,0.0004
pivot_first,100,5,0.0004
pivot_first,100,5,0.0005
pivot_first,100,5,0.0005
pivot_first,100,5,0.0005
pivot_first,100,5,0.0004
pivot_first,100,5,0.0004
pivot_first,100,5,0.0004
pivot_first,100,25,0.0004
pivot_first,100,25,0.0002
pivot_first,100,25,0.0003
pivot_first,100,25,0.0003
pivot_first,100,25,0.0005
pivot_first,100,25,0.0004
pivot_first,100,25,0.0004
pivot_first,100,25,0.0004
pivot_first,100,25,0.0003
pivot_first,100,25,0.0008
pivot_first,100,45,0.0004
pivot_first,100,45,0.0004
pivot_first,100,45,0.0004
pivot_first,100,45,0.0008
pivot_first,100,45,0.0005
pivot_first,100,45,0.0004
pivot_first,100,45,0.0006
pivot_first,100,45,0.0003
pivot_first,100,45,0.0004
pivot_first,100,45,0.0004
pivot_first,1000,5,0.0235
pivot_first,1000,5,0.0384
pivot_first,1000,5,0.0392
pivot_first,1000,5,0.0394
pivot_first,1000,5,0.0442
pivot_first,1000,5,0.0236
pivot_first,1000,5,0.0238
pivot_first,1000,5,0.0258
pivot_first,1000,5,0.0438
pivot_first,1000,5,0.0433
pivot_first,1000,25,0.0503
pivot_first,1000,25,0.0491
pivot_first,1000,25,0.0504
pivot_first,1000,25,0.0494
pivot_first,1000,25,0.0496
pivot_first,1000,25,0.043
pivot_first,1000,25,0.0432
pivot_first,1000,25,0.0429
pivot_first,1000,25,0.0385
pivot_first,1000,25,0.0363
pivot_first,1000,45,0.0385
pivot_first,1000,45,0.0386
pivot_first,1000,45,0.0386
pivot_first,1000,45,0.0385
pivot_first,1000,45,0.0385
pivot_first,1000,45,0.0383
pivot_first,1000,45,0.0355
pivot_first,1000,45,0.0232
pivot_first,1000,45,0.0384
pivot_first,1000,45,0.0171
pivot_first,10000,5,2.2326
pivot_first,10000,5,4.1586
pivot_first,10000,5,2.4412
pivot_first,10000,5,4.2033
pivot_first,10000,5,4.7993
pivot_first,10000,5,4.6703
pivot_first,10000,5,4.6483
pivot_first,10000,5,2.3241
pivot_first,10000,5,3.7472
pivot_first,10000,5,3.7167
pivot_first,10000,25,2.5714
pivot_first,10000,25,5.2672
pivot_first,10000,25,3.7544
pivot_first,10000,25,2.506
pivot_first,10000,25,1.9195
pivot_first,10000,25,2.4919
pivot_first,10000,25,4.4173
pivot_first,10000,25,2.4921
pivot_first,10000,25,2.4894
pivot_first,10000,25,2.3071
pivot_first,10000,45,8.1546
pivot_first,10000,45,3.7649
pivot_first,10000,45,2.9854
pivot_first,10000,45,4.7288
pivot_first,10000,45,3.2621
pivot_first,10000,45,3.1388
pivot_first,10000,45,3.2968
pivot_first,10000,45,2.2366
pivot_first,10000,45,1.7386
pivot_first,10000,45,2.375
pivot_first,100000,5,240.6118
pivot_first,100000,5,238.897
pivot_first,100000,5,400.2966
pivot_first,100000,5,397.6693
pivot_first,100000,5,395.592
pivot_first,100000,5,382.2668
pivot_first,100000,5,238.7235
pivot_first,100000,5,409.9482
pivot_first,100000,5,396.0264
pivot_first,100000,5,395.0201
pivot_first,100000,25,418.3569
pivot_first,100000,25,242.4446
pivot_first,100000,25,238.6195
pivot_first,100000,25,242.9947
pivot_first,100000,25,238.3369
pivot_first,100000,25,185.4248
pivot_first,100000,25,240.3117
pivot_first,100000,25,316.4524
pivot_first,100000,25,243.7557
pivot_first,100000,25,276.2567
pivot_first,100000,45,210.0844
pivot_first,100000,45,308.6481
pivot_first,100000,45,600.7642
pivot_first,100000,45,376.7965
pivot_first,100000,45,966.2949
pivot_first,100000,45,305.0686
pivot_first,100000,45,235.2175
pivot_first,100000,45,735.9883
pivot_first,100000,45,238.0359
pivot_first,100000,45,599.3928
pivot_first,100000,5,135.9518
pivot_first,10000,5,1.3585
pivot_first,10000,5,1.3973
pivot_first,10000,5,1.387
pivot_first,10000,5,1.477
pivot_first,10000,5,1.3705
pivot_first,10000,5,1.3852
pivot_first,10000,5,1.4028
pivot_first,10000,5,1.3836
pivot_first,10000,5,1.3911
pivot_first,10000,5,1.374
pivot_first,10000,5,1.3634
pivot_first,10000,5,1.3965
pivot_first,10000,5,1.393
pivot_first,10000,5,1.3916
pivot_first,10000,5,1.6179
pivot_first,10000,5,1.3734
pivot_first,10000,5,1.3894
pivot_first,10000,25,1.4289
pivot_first,10000,25,1.3125
pivot_first,10000,25,1.2919
pivot_first,10000,25,1.4157
pivot_first,10000,5,1.3987
pivot_first,10000,5,1.3744
pivot_first,10000,5,1.377
pivot_first,10000,5,1.3893
pivot_first,10000,5,1.8585
pivot_first,10000,5,1.3865
pivot_first,10000,5,1.3874
pivot_first,10000,5,1.4203
pivot_first,10000,5,1.3694
pivot_first,10000,5,1.3642
pivot_first,10000,25,1.4427
pivot_first,10000,25,1.4182
pivot_first,10000,25,3.6014
pivot_first,10000,25,1.4444
pivot_first,10000,25,1.4431
pivot_first,10000,25,1.4076
pivot_first,10000,25,1.3961
pivot_first,10000,25,1.4314
pivot_first,10000,25,1.4115
pivot_first,10000,25,1.4391
pivot_first,10000,45,1.4741
pivot_first,10000,45,1.4396
pivot_first,10000,45,1.5366
pivot_first,10000,45,1.4382
pivot_first,10000,45,1.5017
pivot_first,10000,45,1.45
pivot_first,10000,45,1.2686
pivot_first,10000,45,1.067
pivot_first,10000,45,1.0784
pivot_first,10000,45,1.4402
pivot_first,100000,5,107.3239
pivot_first,100000,5,144.5532
pivot_first,100000,5,139.5575
pivot_first,100000,5,135.6875
pivot_first,100000,5,139.3837
pivot_first,100000,5,134.5709
pivot_first,100000,5,134.4225
pivot_first,100000,5,135.552
pivot_first,100000,5,137.8807
pivot_first,100000,5,136.6818
pivot_first,100000,25,159.0514
pivot_first,10000,5,1.3764
pivot_first,10000,5,1.3738
pivot_first,10000,5,1.3733
pivot_first,10000,5,1.3706
pivot_first,10000,5,1.3946
