method,list_size,shuffle_percentage,time_seconds
pivot_median,100,5,0.0449
pivot_median,100,5,0.0459
pivot_median,100,5,0.0459
pivot_median,100,5,0.0469
pivot_median,100,5,0.0429
pivot_median,100,5,0.0449
pivot_median,100,5,0.0449
pivot_median,100,5,0.0439
pivot_median,100,5,0.0519
pivot_median,100,5,0.0434
pivot_median,100,25,0.0429
pivot_median,100,25,0.0429
pivot_median,100,25,0.0409
pivot_median,100,25,0.0479
pivot_median,100,25,0.0445
pivot_median,100,25,0.0419
pivot_median,100,25,0.0435
pivot_median,100,25,0.0449
pivot_median,100,25,0.0429
pivot_median,100,25,0.0439
pivot_median,100,45,0.0439
pivot_median,100,45,0.0429
pivot_median,100,45,0.0444
pivot_median,100,45,0.0429
pivot_median,100,45,0.0439
pivot_median,100,45,0.0456
pivot_median,100,45,0.0449
pivot_median,100,45,0.0439
pivot_median,100,45,0.0489
pivot_median,100,45,0.0459
pivot_median,1000,5,43.1622
pivot_median,1000,5,43.9441
pivot_median,1000,5,44.112
pivot_median,1000,5,44.0917
pivot_median,1000,5,44.0927
pivot_median,1000,5,43.9179
pivot_median,1000,5,44.1221
pivot_median,1000,5,44.0928
pivot_median,1000,5,44.3493
pivot_median,1000,5,45.9949
pivot_median,1000,25,44.8994
pivot_median,1000,25,45.3762
pivot_median,1000,25,45.9224
pivot_median,1000,25,45.3198
pivot_median,1000,25,45.1059
pivot_median,1000,25,45.4038
pivot_median,1000,25,45.155
pivot_median,1000,25,44.645
pivot_median,1000,25,45.2723
pivot_median,1000,25,44.9276
pivot_median,1000,45,45.0121
pivot_median,1000,45,44.6955
pivot_median,1000,45,45.4832
pivot_median,1000,45,44.4801
pivot_median,1000,45,45.514
pivot_median,1000,45,44.4368
pivot_median,1000,45,46.2298
pivot_median,1000,45,45.559
pivot_median,1000,45,46.4668
pivot_median,1000,45,44.6914
